username,trust_score_pcc
karlsaniel,1.907159622290044e-05
lalber,1.189161849588392e-05
andres1144033690,3.5951515244310286e-05
alvis,3.43713800444117e-05
antonio29,3.5951515244310286e-05
alissonpf,4.277926501931027e-05
raymitlepcha,4.277926501931027e-05
andrea2007,4.277926501931027e-05
gabi4417,0.0002756613183113793
jfchandler67,4.277926501931027e-05
cristhian91,8.214069386996269e-06
ilse,8.214069386996269e-06
nick101,6.452539191043265e-05
carmen7,5.0829687421051e-05
javi69,0.002235761139927562
lihle,4.3439951028311084e-05
cosmo,0.00011609738752213853
ilde1996,0.000524219427746158
zuly,0.00010462999736780417
greter15,0.00010510850594196718
garyfunk,8.214069386996269e-06
luz70,8.214069386996269e-06
chetoula19,5.0829687421051e-05
skuggi,8.214069386996269e-06
jane0810,8.214069386996269e-06
milamarian,0.0005487911706081591
aloneindekalb,0.00975927701371147
victorg2,0.00027957876365201586
lisi,0.00014305191435018107
jerry5200,0.0002800516839392323
zagato,0.00019110234726931117
marcol23,7.167681211055279e-05
willi,0.000564896079464731
eriguzman,5.0829687421051e-05
aleydis,5.0829687421051e-05
ileana11,8.214069386996269e-06
ricardo68,8.214069386996269e-06
justlie,0.00015077686151504995
morogallino,0.0009415604732640913
aza,8.539566288666803e-05
franciscomssm,3.770088745786932e-05
redrose666,8.214069386996269e-06
03robert,8.214069386996269e-06
jusgg,0.0002129506627125121
marira,6.405368976684586e-05
crispa,6.405368976684586e-05
robertt9900,3.747462443469673e-05
yangtse,0.00037139496866256074
costas778,0.0005108352017524125
todd42,3.747462443469673e-05
aliduzen,3.747462443469673e-05
simonh56,3.747462443469673e-05
tiz,5.0270127971156714e-05
tyty0,5.165496525005725e-05
christbear2,5.0829687421051e-05
chipie,8.214069386996264e-06
adrianmorry,8.214069386996262e-06
danielesilva,0.0002339654861510173
vulcano,5.2281568190438936e-05
osvaldo1965,0.001133165611985131
miltondelahoz,5.2281568190438936e-05
spokkes,0.00012438835662105033
megonore_0110,0.0006741996326567966
valeria89,3.330187901871453e-05
sofiamaraya,3.330187901871453e-05
selete,9.418891971393676e-05
valbona,0.000408177588773335
diluna,0.0001683997011339024
aleramvel,0.0001440295035773185
trun10tion,3.6223889727906403e-05
brianda,0.0002864721395134262
paulh2345,0.000850826471935771
yoemi,3.744572461200671e-05
svet_lana,1.6014922656732174e-05
eddieg,7.002609007437095e-05
galitan,0.00016304162413431349
luzmalcd,0.0016334885478472838
jedicowboy,3.168481090386861e-05
miry,0.00010542669782229126
alex1961,0.0004194443493288261
anita46,0.0009329939089339996
federicomp,6.385900655042691e-05
